table,exists_in_prod,referenced_by_backend,referenced_by_frontend,writers,readers,columns_read,columns_written,pk,fk,not_null,criticality,confidence
apr_lookup_log,YES,YES,NO,routers/apr.py,routers/analytics.py;routers/apr.py;routers/proof.py,created_at;response_ms;success,greska;lookup_method;maticni_broj;response_ms;success;user_id,id,-,created_at;id;lookup_method;maticni_broj;success,P0,PROVEN
audit_immutable,YES,YES,NO,shared/audit_immutable.py,routers/intelligence_timeline.py;scripts/contract01_e2e_verify.py;scripts/dr_runbook.py;scripts/genome_case_dna_evaluate.py;security/chain_anchor.py;services/case_evolution.py;shared/audit_immutable.py,action;created_at;entry_hash;id;metadata;prev_hash;resource_id;resource_type;seq;user_id,action;correlation_id;created_at;entry_hash;ip_hash;metadata;prev_hash;resource_id;resource_type;user_id,id,-,action;created_at;entry_hash;id;prev_hash;seq,P1,PROVEN
audit_log,YES,YES,NO,api.py;shared/audit.py;shared/deps.py,api.py,akcija;ts;user_id,akcija;ip_hash;q_hash;user_id,id,-,akcija;id;user_id,P1,PROVEN
beta_users,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py,email;invited_at,email;napomena;naziv_firme,id,-,email;id;invited_at;status,P0,PROVEN
billing_entries,YES,YES,NO,routers/billing.py;routers/copilot.py;routers/intake.py,routers/billing.py;routers/billing_reports.py;routers/ccc.py;routers/data_export.py;routers/email_notif.py;routers/gdpr.py;routers/health_index.py;routers/inbox.py;routers/matter_intel.py;routers/multi_agent.py;routers/outcome_intel.py;routers/predmeti_close.py;routers/profitabilnost.py;routers/search.py;routers/sef.py;routers/zadaci.py,*;cena_po_jedinici;created_at;datum;faktura_id;fakturisano;id;iznos;iznos_rsd;jedinica;klijent_id;kolicina;obracunato;opis;predmet_id;sati;tarifa_naziv;tarifa_sifra;tip;ukupno;user_id,bodovi;datum;faktura_id;iznos_rsd;obracunato;opis;predmet_id;sati;tarifa_naziv;tarifa_sifra;tip;user_id,id,predmet_id->predmeti.id;faktura_id->fakture.id,datum;id;iznos_rsd;obracunato;opis;predmet_id;tip;user_id,P1,PROVEN/PARTIAL
briefing_istorija,YES,YES,NO,routers/morning_briefing.py,routers/morning_briefing.py,ai_briefing;created_at;datum;statistike;user_id,ai_briefing;datum;statistike;user_id,id,-,created_at;datum;id;user_id,P0,PROVEN
business_groups,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py;shared/business_groups.py,key,icon;updated_at;updated_by,id,-,created_at;display_name;display_order;id;key;updated_at;visible,P2,PROVEN
business_groups_audit,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py,changed_at;group_key,changed_by;group_key;new_values;old_values,id,-,changed_at;changed_by;group_key;id,P1,PROVEN
case_actions,YES,YES,NO,routers/predmeti_close.py;services/case_evolution.py,api.py;routers/case_actions.py;routers/case_pipeline.py;routers/copilot.py;routers/workspace.py;services/case_evolution.py;services/case_pipeline.py;shared/case_context.py;tests/test_singlebrain2_readiness_unification.py;tests/test_wave11_context_isolation.py,closed_at;confidence;correlation_id;created_at;dedupe_key;dokaz;id;izvor_dokumenti;predmet_id;prioritet;razlog;rok;status;tip;updated_at;user_id,closed_at;status;updated_at,id,event_id->events.id,confidence;created_at;dedupe_key;dokaz;id;izvor_dokumenti;kreirao;predmet_id;prioritet;razlog;status;tip;updated_at,P0,PROVEN/PARTIAL
case_benchmarks,YES,YES,NO,routers/benchmarking.py;routers/predmeti_close.py,routers/benchmarking.py,ishod;naplaceno_rsd;regija;tip_predmeta;trajanje_meseci,ishod;naplaceno_rsd;oblast_prava;opt_in;regija;sud_tip;tip_predmeta;trajanje_meseci,id,-,id;tip_predmeta,P2,PROVEN
case_evolution_consequences,YES,YES,NO,services/case_evolution.py,services/case_evolution.py,consequence_name;event_id;status;updated_at,consequence_name;error;event_id;result_ref;status;updated_at,id,event_id->events.id,consequence_name;created_at;event_id;id;status;updated_at,P2,PROVEN
case_intelligence_summaries,YES,YES,NO,services/case_evolution.py,services/case_evolution.py,event_id;id,correlation_id;detalji;dokumenata_dodato;dokumenti_niska_sigurnost;event_id;genome_verzija_posle;genome_verzija_pre;kontradikcije_pronadjene;novi_dokazi;novi_rokovi;predmet_id;reason;rizici_koji_zahtevaju_paznju,id,event_id->events.id,created_at;detalji;dokumenata_dodato;dokumenti_niska_sigurnost;id;kontradikcije_pronadjene;novi_dogadjaji;novi_dokazi;novi_rokovi;predmet_id;reason;rizici_koji_zahtevaju_paznju,P0,PROVEN
case_patterns,YES,YES,NO,routers/learning.py;services/learning_engine.py,routers/benchmarking.py;routers/case_intelligence.py;routers/cio.py;routers/court_predictor.py;routers/learning.py;services/knowledge_hygiene.py;services/learning_engine.py,faktor;id;pobede;porazi;tip_spora;ukupno;ukupno_predmeta;user_id;uspeh_stopa;uzoraka,faktor;pobede;porazi;tip_spora;ukupno;ukupno_predmeta;updated_at;user_id,id,-,faktor;id;tip_spora;user_id,P0,PROVEN
case_profitability,YES,YES,NO,-,routers/profitabilnost.py;routers/proof.py,fakturisano_rsd;nefakturisano_rsd;predmet_id;predmet_tip;ukupno_naplaceno_rsd;ukupno_sati;user_id,-,predmet_id,-,-,P0,PROVEN
chain_anchors,YES,YES,NO,api.py;security/chain_anchor.py,api.py;routers/admin_dashboard.py;routers/proof.py;security/chain_anchor.py,anchored_at;date;id,anchored_at;hash_256;id;record_count,id,-,date;id;root_hash,P1,PROVEN/PARTIAL
cio_dnevni_izvestaj,YES,YES,NO,routers/cio.py,routers/cio.py,created_at;datum;izvestaj;predmeta_analizirano;user_id,created_at;datum;izvestaj;predmeta_analizirano;user_id,id,-,datum;id;izvestaj;user_id,P0,PROVEN
client_memory,YES,YES,NO,routers/firm_memory.py,routers/firm_memory.py,id;kancelarija_id;klijent_ime;kljucne_odluke;napomene;preferira_brze;prihvata_nagodbu;rizik_profil,kancelarija_id;klijent_ime;kljucne_odluke;updated_at,id,kancelarija_id->kancelarije.id,id;kancelarija_id;klijent_ime,P0,PROVEN
client_portal_tokens,YES,YES,NO,routers/client_portal.py,routers/client_portal.py,created_at;expires_at;id;is_active;klijent_email;predmet_id;token_hash;user_id,expires_at;is_active;klijent_email;klijent_pregledao;predmet_id;token_hash;user_id,id,-,created_at;expires_at;id;is_active;predmet_id;token_hash;user_id,P0,PROVEN
client_portal_uploads,YES,YES,NO,routers/client_portal.py,routers/client_portal.py,advokat_user_id;content_type;fajl_naziv;fajl_velicina;id;napomena;predmet_id;pregledano;storage_path;uploaded_at,advokat_user_id;content_type;fajl_naziv;fajl_velicina;napomena;predmet_id;pregledano;storage_path;token_hash,id,-,advokat_user_id;fajl_naziv;fajl_velicina;id;predmet_id;pregledano;token_hash;uploaded_at,P0,PROVEN
client_twin_profili,YES,YES,NO,routers/client_twin.py,routers/case_intelligence.py;routers/client_twin.py,br_predmeta;id;klijent_id;twin_profil;updated_at;user_id,br_predmeta;klijent_id;twin_profil;updated_at;user_id,id,-,id;klijent_id;user_id,P0,PROVEN
commander_analize,YES,YES,NO,routers/case_commander.py,-,-,analiza;predmet_id;tip;user_id,id,-,analiza;created_at;id;predmet_id;user_id,P0,PROVEN
commander_jutarnji,YES,YES,NO,routers/case_commander.py,routers/case_commander.py,brifing;datum;user_id,brifing;datum;user_id,id,-,brifing;datum;id;user_id,P0,PROVEN
confidence_audit_log,YES,YES,NO,routers/confidence_audit.py;services/confidence_auditor.py,services/confidence_auditor.py,bila_tacna;confidence_band;oblast_prava;recommendation_id;user_id,bila_tacna;confidence_band;oblast_prava;predmet_id;prihvacena;recommendation_id;user_id,id,recommendation_id->recommendation_log.id,confidence_band;id;prihvacena;user_id,P1,PROVEN/PARTIAL
conversations,YES,NO,YES,static/vindex.js,static/vindex.js,content;created_at;role;session_id;tab,content;role;session_id;tab;user_id,id,-,content;id;role;session_id;user_id,P0,PROVEN
counterfactual_log,YES,YES,NO,services/learning_engine.py,routers/learning.py,ai_procena;created_at;hipoteza;id;komentar;odgovor;predmet_id;tip_hipoteze;user_id,ai_procena;hipoteza;komentar;odgovor;predmet_id;tip_hipoteze;user_id,id,-,hipoteza;id;user_id,P0,PROVEN
cron_runs,YES,YES,NO,api.py,routers/proof.py,errors_count;processed_items;run_id;started_at;status,duration_ms;errors_count;finished_at;moduli;processed_items;run_id;started_at;status,run_id,-,errors_count;processed_items;run_id;started_at;status,P2,PROVEN
decision_log,YES,YES,NO,routers/case_intelligence.py;services/decision_log.py,routers/case_intelligence.py;routers/decision_replay.py;services/decision_log.py,akcija;alternativa;alternative;created_at;id;kontekst;opis;predmet_id;tip_odluke;urgentnost;user_id,akcija;alternative;kontekst;opis;predmet_id;tip_odluke;urgentnost;user_id,id,-,akcija;id;user_id,P0,PROVEN
discovered_bilteni,YES,YES,NO,routers/batch_ingest.py,routers/batch_ingest.py,discovered_at;url,court;discovered_at;filename;label;size_bytes;status;url,id,ingest_job_id->ingest_jobs.id,court;discovered_at;filename;id;label;status;url,P2,PROVEN
discovery_queue,YES,YES,NO,routers/auto_discovery.py,routers/auto_discovery.py,created_at;greska;id;metapodaci;namespace;processed_at;status;tip;url;zemlja,greska;metapodaci;namespace;processed_at;status;tip;url;zemlja,id,-,id;tip,P2,PROVEN
email_log,YES,YES,NO,routers/billing.py,-,-,faktura_id;greska;poslato_na;status;user_id,id,-,faktura_id;id;poslato_na;user_id,P0,PROVEN
email_notif_log,YES,YES,NO,routers/email_notif.py,routers/email_notif.py,dana_pre;datum_roka;id;user_id,dana_pre;datum_roka;predmet_id;user_id,id,-,dana_pre;datum_roka;id;poslato_at;user_id,P0,PROVEN
events,YES,YES,NO,api.py;routers/case_dna.py;services/event_bus.py,scripts/genome_case_dna_evaluate.py;services/event_bus.py,created_at;dispatched_at;event_type;id;payload;predmet_id,claimed_at;correlation_id;dispatch_attempts;dispatched_at;event_type;last_error;payload;predmet_id;user_id,id,-,created_at;dispatch_attempts;event_type;id;payload,P0,PROVEN
events_outbox_metrics,YES,YES,NO,-,shared/intake_queue.py,-,-,-,-,-,P2,PROVEN
evidence_grafovi,YES,YES,NO,routers/evidence_graph.py,routers/evidence_graph.py,created_at;id;podaci;predmet_id;user_id,podaci;predmet_id;user_id,id,-,id;predmet_id;user_id,P0,PROVEN
extracted_entities,YES,YES,NO,shared/intake_documents.py,routers/smart_intake.py;shared/intake_accuracy.py;shared/intake_documents.py,document_id;entity_type;extraction_method;id;reviewed,confidence;corrected_value;document_id;entity_type;extraction_method;reviewed;value,id,document_id->intake_documents.id,confidence;created_at;document_id;entity_type;extraction_method;id;reviewed,P2,PROVEN
fakture,YES,YES,NO,routers/billing.py;routers/recurring.py,routers/billing.py;routers/billing_reports.py;routers/dashboard.py;routers/enterprise.py;routers/sef.py;tests/test_recurring.py,broj_fakture;created_at;datum_fakture;id;iznos_bez_pdv;iznos_rsd;iznos_sa_pdv;klijent_id;predmet_id;status;user_id,broj_fakture;datum_dospeca;datum_fakture;is_proforma;iznos_bez_pdv;iznos_sa_pdv;klijent_adresa;klijent_naziv;klijent_pib;napomena;pdv_iznos;predmet_id;status;user_id,id,predmet_id->predmeti.id,broj_fakture;datum_fakture;id;iznos_bez_pdv;iznos_sa_pdv;klijent_naziv;pdv_iznos;status;user_id,P1,PROVEN/PARTIAL
feature_analytics,YES,NO,NO,-,-,-,-,-,-,-,P3,PROVEN
feature_dependencies,YES,YES,NO,-,shared/feature_registry.py,depends_on;feature_key,-,feature_key;depends_on,feature_key->feature_registry.feature_key;depends_on->feature_registry.feature_key,depends_on;feature_key,P2,PROVEN
feature_registry,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py;shared/feature_registry.py;tests/test_wave9_migration_111.py,feature_key,addon;aktivno;business_group_id;cooldown_seconds;dnevni_limit;mesecni_limit;minimum_plan;updated_at;updated_by,feature_key,business_group_id->business_groups.id,aktivno;chargeable;credit_multiplier;feature_key;feature_type;kategorija;krediti;naziv;priority;status;updated_at;version;visible,P2,PROVEN
feature_registry_audit,YES,YES,NO,routers/admin_dashboard.py,routers/admin_dashboard.py,changed_at;feature_key,changed_by;feature_key;new_values;old_values,id,-,changed_at;changed_by;feature_key;id,P1,PROVEN
feature_usage,YES,YES,NO,shared/usage.py,routers/email_notif.py;routers/plans.py;routers/product_intelligence.py;shared/usage.py;tests/test_revenue_intelligence.py;tests/test_wave9_billing_invariant.py,broj_koriscenja;dan;feature_key;id;krediti_potroseni;mesec;updated_at;user_id,broj_koriscenja;dan;feature_key;krediti_potroseni;mesec;updated_at;user_id,id,feature_key->feature_registry.feature_key,broj_koriscenja;dan;feature_key;id;krediti_potroseni;mesec;updated_at;user_id,P1,PROVEN
feature_usage_log,YES,YES,NO,shared/usage.py,routers/product_intelligence.py;shared/usage.py,ai_model;created_at;estimated_cost_usd;feature_key;krediti_potroseni;user_id,-,id,-,created_at;feature_key;id;krediti_potroseni;user_id,P1,PROVEN/PARTIAL
feedback,YES,YES,NO,routers/drafting.py,-,-,q_hash;tip;user_id,id,-,id,P0,PROVEN
filter_results,YES,NO,NO,-,-,-,-,id,job_id->jobs.id,hard_filter_passed;id;job_id,P3,PROVEN
firm_dna,YES,YES,NO,services/learning_engine.py,routers/case_intelligence.py;routers/cio.py;routers/learning.py;services/learning_engine.py,advokat;aktuelna;created_at;frekvencija;id;pattern;primer;tip;updated_at;user_id;uzoraka;valid_until;verzija;verzija_od,aktuelna;frekvencija;pattern;primer;tip;updated_at;user_id;uzoraka;verzija;verzija_od,id,-,id;pattern;user_id,P0,PROVEN
firm_style_profile,YES,YES,NO,routers/corrections.py,routers/corrections.py,id;kancelarija_id;korekcija_count;stil_data,kancelarija_id;korekcija_count;last_updated;stil_data,id,kancelarija_id->kancelarije.id,id;kancelarija_id,P0,PROVEN
firma_clanovi,YES,NO,NO,-,-,-,-,id,-,firma_id;id;uloga;user_id,P0,PROVEN
firma_pozivnice,YES,NO,NO,-,-,-,-,id,-,email;firma_id;id;token;uloga,P3,PROVEN
hearing_briefovi,YES,YES,NO,routers/court_predictor.py,-,-,brief;datum;predmet_id;rociste_naziv;user_id,id,-,created_at;id;user_id,P0,PROVEN
impact_metrics,YES,NO,NO,-,-,-,-,id,-,id;period_do;period_od;user_id,P0,PROVEN
ingest_jobs,YES,YES,NO,routers/batch_ingest.py,routers/batch_ingest.py,created_at;id,created_at;created_by;failed_docs;id;namespace;processed;source;status;total_docs,id,-,created_at;created_by;failed_docs;id;namespace;processed;status;total_docs,P2,PROVEN/PARTIAL
intake_audit_log,YES,YES,NO,shared/intake_queue.py,-,-,actor;after;before;event_type;intake_job_id,id,intake_job_id->intake_jobs.id,actor;at;event_type;id;intake_job_id,P0,PROVEN
intake_documents,YES,YES,NO,shared/intake_documents.py,routers/smart_intake.py;shared/intake_accuracy.py;shared/intake_documents.py,classification_method;created_at;document_type;id;intake_job_id;ocr_used,classification_confidence;classification_method;document_type;intake_job_id;ocr_confidence;ocr_used;suggested_filename,id,intake_job_id->intake_jobs.id,classification_confidence;classification_method;created_at;document_type;id;intake_job_id;ocr_used,P0,PROVEN
intake_job_segments,YES,YES,NO,shared/intake_segments.py,shared/intake_segments.py,document_id;id;intake_job_id;segment_index,assimilation_status;attempts;boundary_signals;document_id;end_page;intake_job_id;last_error;max_attempts;segment_index;segmentation_confidence;segmentation_reason;start_page;status,id,intake_job_id->intake_jobs.id;document_id->intake_documents.id,assimilation_status;attempts;boundary_signals;created_at;end_page;id;intake_job_id;max_attempts;segment_index;segmentation_method;segmentation_reason;start_page;status;updated_at,P0,PROVEN
intake_jobs,YES,YES,NO,routers/smart_intake.py;shared/intake_documents.py;shared/intake_queue.py,routers/smart_intake.py;routers/workspace.py;services/event_bus.py;shared/intake_queue.py,assimilation_complete;attempts;claimed_at;completed_at;created_at;finalizing_at;id;idempotency_key;last_error;max_attempts;mime_type;original_filename;predmet_id;source;status;storage_path;uploaded_by,assimilation_complete;finalizing_at;mime_type;original_filename;predmet_id;status,id,-,assimilation_complete;attempts;content_sha256;created_at;id;max_attempts;source;status;storage_path;uploaded_by,P0,PROVEN
intake_processing_outcomes,YES,YES,NO,shared/intake_documents.py,shared/intake_accuracy.py;shared/intake_documents.py,created_at;intake_job_id,correction_reason;document_type;entity_confidence;error_source;fields_corrected;intake_job_id;ocr_confidence;processing_time_ms;segment_id;user_corrected,id,intake_job_id->intake_jobs.id;segment_id->intake_job_segments.id,created_at;entity_confidence;fields_corrected;id;intake_job_id;user_corrected,P0,PROVEN
intake_queue_metrics,YES,YES,NO,-,shared/intake_queue.py,-,-,-,-,-,P0,PROVEN
intake_review_queue,YES,YES,NO,shared/intake_documents.py,shared/intake_accuracy.py;shared/intake_documents.py,document_id;intake_job_id;low_confidence_fields;reason;resolved_at,document_id;intake_job_id;low_confidence_fields;reason;resolved_at;resolved_by,id,intake_job_id->intake_jobs.id;document_id->intake_documents.id,created_at;id;intake_job_id;low_confidence_fields;reason,P0,PROVEN
intake_worker_heartbeat,YES,YES,NO,shared/intake_queue.py,shared/intake_queue.py,last_heartbeat_at;worker_id,jobs_failed;jobs_processed;last_heartbeat_at;worker_id,worker_id,-,jobs_failed;jobs_processed;last_heartbeat_at;started_at;worker_id,P0,PROVEN
integracije,YES,YES,NO,routers/integrations.py,routers/integrations.py,access_token;refresh_token;tip;user_id,access_token;aktivan;refresh_token;tip;user_id,id,-,id;tip;user_id,P0,PROVEN
jobs,YES,NO,NO,-,-,-,-,id,-,company;dedup_hash;id;source_platform;source_url;title,P3,PROVEN
judge_patterns,YES,YES,NO,routers/firm_memory.py,routers/firm_memory.py,id;insistira_na;kancelarija_id;nagodbe;odbija;opis_ponasanja;pobede;porazi;sudija_ime,kancelarija_id;nagodbe;pobede;porazi;sudija_ime;updated_at,id,kancelarija_id->kancelarije.id,id;kancelarija_id;sudija_ime,P0,PROVEN
kancelarija_clanovi,YES,YES,NO,routers/kancelarija.py;shared/seats.py,api.py;klijenti/router.py;routers/enterprise.py;routers/kancelarija.py;routers/workflow.py;routers/zadaci.py;shared/kancelarija_utils.py;shared/seats.py;tests/test_confidentiality_002_tenant.py;workers/background_agents.py,clan_id;email;id;kancelarija_id;status;uloga;user_id,email;invited_at;invited_by;kancelarija_id;status;uloga,id,kancelarija_id->kancelarije.id,email;id;invited_at;invited_by;kancelarija_id;status;uloga,P0,PROVEN
kancelarija_seat_audit,YES,YES,NO,shared/seats.py,routers/kancelarija.py,created_at;kancelarija_id,action;actor_email;actor_uid;clan_email;clan_id;created_at;from_status;kancelarija_id;to_status,id,kancelarija_id->kancelarije.id;clan_id->kancelarija_clanovi.id,action;actor_email;actor_uid;clan_email;created_at;id;kancelarija_id;to_status,P0,PROVEN
kancelarije,YES,YES,NO,routers/kancelarija.py,api.py;klijenti/router.py;routers/enterprise.py;routers/kancelarija.py;routers/proof.py;routers/workflow.py;routers/zadaci.py;shared/kancelarija_utils.py,admin_uid;firma_slug;id;pinecone_namespace,admin_uid;created_at;naziv,id,-,admin_uid;created_at;id;naziv,P0,PROVEN
klijent_dokumenti,YES,YES,NO,klijenti/router.py;tests/test_sprint1_background_tasks.py,klijenti/router.py,deleted_at;id;klijent_id;mime_type;tip_dokumenta;uploaded_at;uploaded_by;velicina,klijent_id;mime_type;naziv_fajla_encrypted;predmet_id;storage_key;tip_dokumenta;uploaded_by;velicina,id,klijent_id->klijenti.id;predmet_id->predmeti.id,id;klijent_id;mime_type;storage_key;tip_dokumenta;uploaded_at;uploaded_by,P0,PROVEN
klijent_komunikacija,YES,YES,NO,klijenti/router.py,api.py;klijenti/router.py,created_at;datum_vreme;id;kanal;klijent_id;kratak_opis;tip;ucesnik_id,datum_vreme;klijent_id;kratak_opis;tip;ucesnik_id,id,klijent_id->klijenti.id,datum_vreme;id;klijent_id;kratak_opis;kreirano;tip;ucesnik_id,P0,PROVEN
klijenti,YES,YES,NO,klijenti/router.py;routers/import_klijenti.py;routers/intake.py;routers/onboarding.py;routers/smart_intake.py;scripts/migrate_jmbg_encrypt.py,api.py;klijenti/router.py;routers/analytics.py;routers/billing.py;routers/billing_reports.py;routers/client_twin.py;routers/conflict_check.py;routers/copilot.py;routers/data_export.py;routers/enterprise.py;routers/import_klijenti.py;routers/intake.py;routers/morning_briefing.py;routers/search.py;scripts/dr_runbook.py;scripts/migrate_jmbg_encrypt.py;shared/case_assimilation.py,*;aktivan;created_at;datum_poslednje_aktivnosti;deleted_at;email;firma;id;ime;jmbg_encrypted;jmbg_mb;kreirano;napomene;naziv_firme;naziv_kompanije;pib;pib_encrypted;prezime;status;telefon;tip;tip_lica;user_id,adresa;aktivan;azurirano;broj_pasosa_encrypted;datum_nastanka;datum_poslednje_aktivnosti;deleted_at;email;firma;ime;jmbg_encrypted;maticni_broj;napomena;pib_encrypted;pravni_osnov_obrade;prezime;saglasnost_datum;status;telefon;tip;user_id,id,-,id;ime;pravni_osnov_obrade;status;user_id,P0,PROVEN/PARTIAL
klijenti_audit,YES,YES,NO,klijenti/audit.py,klijenti/router.py,entitet_id;timestamp,akcija;detalji;entitet_id;entitet_tip;ip_adresa;user_email;user_id;user_role,id,-,akcija;detalji;entitet_tip;id;timestamp;user_email;user_id;user_role,P0,PROVEN
klijenti_dokumenti,NO,YES,NO,-,klijenti/router.py,id;klijent_id;naziv_fajla;status;uploaded_at;velicina_kb,-,-,-,-,P0,PROVEN_ABSENT
klijenti_retention_candidates,YES,NO,NO,-,-,-,-,id,-,-,P0,PROVEN
knowledge_hygiene_log,YES,YES,NO,routers/knowledge_hygiene.py;services/knowledge_hygiene.py,routers/knowledge_hygiene.py;services/knowledge_hygiene.py,created_at;entitet2_id;entitet_id;entitet_tip;id;opis;skor;status;tip_akcije;user_id,status;updated_at;user_id,id,-,entitet_id;entitet_tip;id;opis;tip_akcije;user_id,P0,PROVEN
knowledge_izvori,YES,YES,NO,routers/knowledge_transfer.py,routers/knowledge_transfer.py,created_at;id;ishod;oblast_prava;profile_id;sadrzaj;tip,ishod;oblast_prava;profile_id;sadrzaj;tip;user_id,id,profile_id->knowledge_profiles.id,id;profile_id;sadrzaj;tip;user_id,P0,PROVEN
knowledge_profiles,YES,YES,NO,routers/knowledge_transfer.py,routers/case_intelligence.py;routers/knowledge_transfer.py,advokat_email;advokat_ime;aktivan;created_at;id;oblasti_prava;taktike;top_argumenti;ukupno_predmeta;user_id;win_rate,advokat_email;advokat_ime;aktivan;napomene;oblasti_prava;stil_komunikacije;taktike;top_argumenti;ukupno_predmeta;updated_at;user_id;win_rate,id,-,advokat_ime;id;user_id,P0,PROVEN
knowledge_upiti,YES,YES,NO,routers/knowledge_transfer.py,routers/knowledge_transfer.py,created_at;id;odgovor;profile_id;upit;user_id,kontekst;odgovor;profile_id;upit;user_id,id,profile_id->knowledge_profiles.id,id;profile_id;upit;user_id,P0,PROVEN
korisnik_email_notif,YES,YES,NO,routers/email_notif.py;routers/gdpr.py,routers/email_notif.py;routers/gdpr.py,aktivan;dan_1;dan_3;dan_7;nedeljni;user_id,aktivan;dan_1;dan_3;dan_7;nedeljni;updated_at;user_id,user_id,-,aktivan;dan_1;dan_3;dan_7;nedeljni;updated_at;user_id,P0,PROVEN
korisnik_plan,YES,TEST_ONLY,NO,-,tests/test_faza72_5_migration.py,-,-,id,-,billing_cycle;created_at;id;plan_type;seats;started_at;user_id,P1,PROVEN
korisnik_sms_profil,YES,YES,NO,routers/sms.py,routers/admin_dashboard.py;routers/portal_monitoring.py;routers/sms.py,aktivan;allow_critical_override;quiet_end;quiet_start;telefon;user_id;whatsapp,aktivan;email;telefon;user_id;whatsapp,id,-,aktivan;allow_critical_override;id;telefon;user_id;whatsapp,P0,PROVEN
korisnik_usage,YES,TEST_ONLY,NO,-,tests/test_faza72_5_migration.py,-,-,id,-,ai_queries;battle_reports;commander;court_predictor;created_at;digital_twin;doc_analyses;evidence_graph;hearing_prep;id;nacrti;overage_docs;overage_queries;overage_strategies;simulator;strategies;updated_at;user_id;year_month,P1,PROVEN
korisnik_viber_profil,YES,YES,NO,routers/viber.py,routers/admin_dashboard.py;routers/portal_monitoring.py;routers/viber.py,aktivan;allow_critical_override;quiet_end;quiet_start;user_id;viber_user_id,aktivan;viber_name;viber_user_id,id,-,aktivan;allow_critical_override;id;viber_user_id,P0,PROVEN
law_docs,YES,YES,NO,routers/law_upload.py,routers/law_upload.py,broj_sl_glasnika;created_at;filename;greska;id;ingested_at;naziv;size_bytes;status;ukupno_chunkova;vektori_upserted,broj_sl_glasnika;created_at;filename;greska;id;ingested_at;naziv;size_bytes;status;ukupno_chunkova;uploaded_by;vektori_upserted,id,-,broj_sl_glasnika;created_at;filename;id;naziv;status;ukupno_chunkova;uploaded_by;vektori_upserted,P2,PROVEN
lessons_learned,YES,YES,NO,routers/learning.py;services/knowledge_hygiene.py;services/learning_engine.py,routers/case_intelligence.py;routers/cio.py;routers/knowledge_hygiene.py;routers/learning.py;routers/morning_briefing.py;services/knowledge_hygiene.py;services/learning_engine.py,broj_predmeta;created_at;id;kategorija;lecija;oblast_prava;poslednji_pristup;potvrdio;pouzdanost;predmet_id;primenjljivo_na;sadrzaj;status_lekcije;tip_spora;user_id;vaznost;zastarela;zastarela_razlog,broj_predmeta;grupa_id;kategorija;lecija;oblast_prava;period_do;period_od;pouzdanost;predmet_id;primenjljivo_na;status_lekcije;tip_spora;user_id;vaznost;zastarela;zastarela_at;zastarela_razlog,id,-,id;lecija;user_id,P0,PROVEN
